質問ID,モジュール,対象工程,優先度,質問種別,triage_区分,triage_根拠,p0_status(P0のみ),メモ
Q-137,07_案件計画・日常処理,WF-13〜WF-18,P0,実態/証跡,実データから回答可能,確認先=SF Task/Event/Chatter→案件日常処理の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-138,07_案件計画・日常処理,WF-13〜WF-18,P0,実態/証跡,実データから回答可能,確認先=SF Task/Event/Chatter→案件日常処理の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要 [根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-139,07_案件計画・日常処理,WF-13〜WF-18,P1,実態/証跡,実データから回答可能,確認先=SF Task/Event/Chatter→案件日常処理の自然発生データ観測で確認可能,,
Q-140,07_案件計画・日常処理,WF-13〜WF-18,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-141,07_案件計画・日常処理,WF-13〜WF-18,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-142,07_案件計画・日常処理,WF-13〜WF-18,P1,実態/証跡,実データから回答可能,確認先=SF Task/Event/Chatter→案件日常処理の自然発生データ観測で確認可能,,
Q-143,07_案件計画・日常処理,WF-13〜WF-18,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-144,07_案件計画・日常処理,WF-13〜WF-18,P0,実態/証跡,実データから回答可能,確認先=SF Task/Event/Chatter→案件日常処理の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-145,07_案件計画・日常処理,WF-13〜WF-18,P2,実態/証跡,実データから回答可能,確認先=SF Task/Event/Chatter→案件日常処理の自然発生データ観測で確認可能,,[根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-146,07_案件計画・日常処理,WF-13〜WF-18,P2,実態/証跡,実データから回答可能,確認先=SF Task/Event/Chatter→案件日常処理の自然発生データ観測で確認可能,,
Q-147,07_案件計画・日常処理,WF-13〜WF-18,P2,実態/証跡,実データから回答可能,確認先=SF Task/Event/Chatter→案件日常処理の自然発生データ観測で確認可能,,
Q-148,07_案件計画・日常処理,WF-13〜WF-18,P2,実態/証跡,実データから回答可能,確認先=SF Task/Event/Chatter→案件日常処理の自然発生データ観測で確認可能,,[根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-149,07_案件計画・日常処理,WF-13〜WF-18,P2,実態/証跡,実データから回答可能,確認先=SF Task/Event/Chatter→案件日常処理の自然発生データ観測で確認可能,,
Q-150,07_案件計画・日常処理,WF-13〜WF-18,P2,実態/証跡,実データから回答可能,確認先=SF Task/Event/Chatter→案件日常処理の自然発生データ観測で確認可能,,
Q-151,07_案件計画・日常処理,WF-13〜WF-18,P2,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-152,07_案件計画・日常処理,WF-13〜WF-18,P2,実態/証跡,実データから回答可能,確認先=SF Task/Event/Chatter→案件日常処理の自然発生データ観測で確認可能,,
Q-153,07_案件計画・日常処理,WF-13〜WF-18,P2,実態/証跡,実データから回答可能,確認先=SF Task/Event/Chatter→案件日常処理の自然発生データ観測で確認可能,,
Q-154,07_案件計画・日常処理,WF-13〜WF-18,P2,実態/証跡,実データから回答可能,確認先=SF Task/Event/Chatter→案件日常処理の自然発生データ観測で確認可能,,[根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-155,07_案件計画・日常処理,WF-13〜WF-18,P2,実態/証跡,実データから回答可能,確認先=SF Task/Event/Chatter→案件日常処理の自然発生データ観測で確認可能,,
Q-156,08_文書・成果物・納品,WF-06〜WF-22,P0,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-157,08_文書・成果物・納品,WF-06〜WF-22,P0,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-158,08_文書・成果物・納品,WF-06〜WF-22,P1,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,,
Q-159,08_文書・成果物・納品,WF-06〜WF-22,P1,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,,
Q-160,08_文書・成果物・納品,WF-06〜WF-22,P0,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-161,08_文書・成果物・納品,WF-06〜WF-22,P1,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,,
Q-162,08_文書・成果物・納品,WF-06〜WF-22,P1,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,,
Q-163,08_文書・成果物・納品,WF-06〜WF-22,P1,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,,[根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-164,08_文書・成果物・納品,WF-06〜WF-22,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-165,08_文書・成果物・納品,WF-06〜WF-22,P1,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,,
Q-166,08_文書・成果物・納品,WF-06〜WF-22,P1,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,,
Q-167,08_文書・成果物・納品,WF-06〜WF-22,P2,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,,
Q-168,08_文書・成果物・納品,WF-06〜WF-22,P2,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,,
Q-169,08_文書・成果物・納品,WF-06〜WF-22,P2,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,,
Q-170,08_文書・成果物・納品,WF-06〜WF-22,P2,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,,
Q-171,08_文書・成果物・納品,WF-06〜WF-22,P2,実態/証跡,実物サンプル確認で回答可能,自動観測性=実査可・確認先=Boxサンプル等→実ファイルの層化サンプル確認で確定,,
Q-172,08_文書・成果物・納品,WF-06〜WF-22,P2,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,,
Q-173,08_文書・成果物・納品,WF-06〜WF-22,P2,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,,
Q-174,08_文書・成果物・納品,WF-06〜WF-22,P0,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要 [根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-175,08_文書・成果物・納品,WF-06〜WF-22,P2,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,,
Q-176,08_文書・成果物・納品,WF-06〜WF-22,P2,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,,
Q-177,08_文書・成果物・納品,WF-06〜WF-22,P2,実態/証跡,実物サンプル確認で回答可能,確認先=Boxサンプル/送信メール/提出証跡→Box実ファイルの層化サンプルで確認可能,,
Q-178,09_連絡・チャネル統合,横断,P1,実態/証跡,実データから回答可能,確認先=Gmail/Dialpad/Notta/Chatwork/Chatter実データ→連絡チャネルの自然発生データ観測で確認可能,,
Q-179,09_連絡・チャネル統合,横断,P1,実態/証跡,実データから回答可能,確認先=Gmail/Dialpad/Notta/Chatwork/Chatter実データ→連絡チャネルの自然発生データ観測で確認可能,,
Q-180,09_連絡・チャネル統合,横断,P1,実態/証跡,実データから回答可能,自動観測性=実査可・確認先がシステム実データ（SF/Calendar等）→自然発生データ観測で確定,,
Q-181,09_連絡・チャネル統合,横断,P1,実態/証跡,実データから回答可能,確認先=Gmail/Dialpad/Notta/Chatwork/Chatter実データ→連絡チャネルの自然発生データ観測で確認可能,,
Q-182,09_連絡・チャネル統合,横断,P1,実態/証跡,実データから回答可能,確認先=Gmail/Dialpad/Notta/Chatwork/Chatter実データ→連絡チャネルの自然発生データ観測で確認可能,,
Q-183,09_連絡・チャネル統合,横断,P1,実態/証跡,実データから回答可能,確認先=Gmail/Dialpad/Notta/Chatwork/Chatter実データ→連絡チャネルの自然発生データ観測で確認可能,,
Q-184,09_連絡・チャネル統合,横断,P0,実態/証跡,実データから回答可能,確認先=Gmail/Dialpad/Notta/Chatwork/Chatter実データ→連絡チャネルの自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要 [根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-185,09_連絡・チャネル統合,横断,P2,実態/証跡,実データから回答可能,確認先=Gmail/Dialpad/Notta/Chatwork/Chatter実データ→連絡チャネルの自然発生データ観測で確認可能,,[根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-186,09_連絡・チャネル統合,横断,P2,実態/証跡,実データから回答可能,確認先=Gmail/Dialpad/Notta/Chatwork/Chatter実データ→連絡チャネルの自然発生データ観測で確認可能,,
Q-187,09_連絡・チャネル統合,横断,P2,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-188,09_連絡・チャネル統合,横断,P2,実態/証跡,実データから回答可能,確認先=Gmail/Dialpad/Notta/Chatwork/Chatter実データ→連絡チャネルの自然発生データ観測で確認可能,,
Q-189,09_連絡・チャネル統合,横断,P2,実態/証跡,実データから回答可能,確認先=Gmail/Dialpad/Notta/Chatwork/Chatter実データ→連絡チャネルの自然発生データ観測で確認可能,,
Q-190,09_連絡・チャネル統合,横断,P0,実態/証跡,実データから回答可能,確認先=Gmail/Dialpad/Notta/Chatwork/Chatter実データ→連絡チャネルの自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-191,09_連絡・チャネル統合,横断,P2,実態/証跡,実データから回答可能,確認先=Gmail/Dialpad/Notta/Chatwork/Chatter実データ→連絡チャネルの自然発生データ観測で確認可能,,
Q-192,09_連絡・チャネル統合,横断,P0,実態/証跡,実データから回答可能,確認先=Gmail/Dialpad/Notta/Chatwork/Chatter実データ→連絡チャネルの自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要 [根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-193,10_裁判所・期限・提出,WF-13〜WF-18,P0,実態/証跡,実データから回答可能,確認先=SF Deadline/Calendar/期日通知/提出証跡→期限の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要 [根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-194,10_裁判所・期限・提出,WF-13〜WF-18,P0,実態/証跡,実データから回答可能,確認先=SF Deadline/Calendar/期日通知/提出証跡→期限の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-195,10_裁判所・期限・提出,WF-13〜WF-18,P0,実態/証跡,実データから回答可能,自動観測性=実査可・確認先がシステム実データ（SF/Calendar等）→自然発生データ観測で確定,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要 [根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-196,10_裁判所・期限・提出,WF-13〜WF-18,P0,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,浅井聴取必須,方針決定（設計判断）→owner裁定要・浅井聴取必須（現時点 未決）
Q-197,10_裁判所・期限・提出,WF-13〜WF-18,P0,実態/証跡,実データから回答可能,確認先=SF Deadline/Calendar/期日通知/提出証跡→期限の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-198,10_裁判所・期限・提出,WF-13〜WF-18,P0,実態/証跡,実データから回答可能,確認先=SF Deadline/Calendar/期日通知/提出証跡→期限の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-199,10_裁判所・期限・提出,WF-13〜WF-18,P0,実態/証跡,実データから回答可能,確認先=SF Deadline/Calendar/期日通知/提出証跡→期限の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-200,10_裁判所・期限・提出,WF-13〜WF-18,P0,実態/証跡,実データから回答可能,確認先=SF Deadline/Calendar/期日通知/提出証跡→期限の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-201,10_裁判所・期限・提出,WF-13〜WF-18,P2,実態/証跡,実データから回答可能,確認先=SF Deadline/Calendar/期日通知/提出証跡→期限の自然発生データ観測で確認可能,,
Q-202,10_裁判所・期限・提出,WF-13〜WF-18,P2,実態/証跡,実データから回答可能,確認先=SF Deadline/Calendar/期日通知/提出証跡→期限の自然発生データ観測で確認可能,,
Q-203,10_裁判所・期限・提出,WF-13〜WF-18,P0,実態/証跡,実データから回答可能,確認先=SF Deadline/Calendar/期日通知/提出証跡→期限の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-204,10_裁判所・期限・提出,WF-13〜WF-18,P2,実態/証跡,実データから回答可能,確認先=SF Deadline/Calendar/期日通知/提出証跡→期限の自然発生データ観測で確認可能,,
Q-205,11_成果・終結・知識化,WF-19〜WF-22,P0,実態/証跡,実データから回答可能,確認先=既済案件/最終請求/返却記録→終結の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要 [根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-206,11_成果・終結・知識化,WF-19〜WF-22,P0,実態/証跡,実データから回答可能,確認先=既済案件/最終請求/返却記録→終結の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-207,11_成果・終結・知識化,WF-19〜WF-22,P1,実態/証跡,実データから回答可能,確認先=既済案件/最終請求/返却記録→終結の自然発生データ観測で確認可能,,
Q-208,11_成果・終結・知識化,WF-19〜WF-22,P1,実態/証跡,実データから回答可能,確認先=既済案件/最終請求/返却記録→終結の自然発生データ観測で確認可能,,[根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-209,11_成果・終結・知識化,WF-19〜WF-22,P0,実態/証跡,実データから回答可能,確認先=既済案件/最終請求/返却記録→終結の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-210,11_成果・終結・知識化,WF-19〜WF-22,P0,実態/証跡,実データから回答可能,確認先=既済案件/最終請求/返却記録→終結の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要 [根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-211,11_成果・終結・知識化,WF-19〜WF-22,P1,実態/証跡,実データから回答可能,確認先=既済案件/最終請求/返却記録→終結の自然発生データ観測で確認可能,,
Q-212,11_成果・終結・知識化,WF-19〜WF-22,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-213,11_成果・終結・知識化,WF-19〜WF-22,P0,実態/証跡,実物サンプル確認で回答可能,自動観測性=実査可・確認先に実物（契約類/既済案件/返却記録）→実物サンプル確認で確定,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-214,11_成果・終結・知識化,WF-19〜WF-22,P1,実態/証跡,実データから回答可能,確認先=既済案件/最終請求/返却記録→終結の自然発生データ観測で確認可能,,
Q-215,11_成果・終結・知識化,WF-19〜WF-22,P1,実態/証跡,実データから回答可能,確認先=既済案件/最終請求/返却記録→終結の自然発生データ観測で確認可能,,
Q-216,11_成果・終結・知識化,WF-19〜WF-22,P2,実態/証跡,実データから回答可能,確認先=既済案件/最終請求/返却記録→終結の自然発生データ観測で確認可能,,
Q-217,11_成果・終結・知識化,WF-19〜WF-22,P2,実態/証跡,実物サンプル確認で回答可能,確認先=終了報告/既済案件/返却記録→終結成果物の実物サンプル確認で確定,,
Q-218,11_成果・終結・知識化,WF-19〜WF-22,P2,実態/証跡,実物サンプル確認で回答可能,確認先=終了報告/既済案件/返却記録→終結成果物の実物サンプル確認で確定,,
Q-219,11_成果・終結・知識化,WF-19〜WF-22,P0,実態/証跡,実物サンプル確認で回答可能,確認先=終了報告/既済案件/返却記録→終結成果物の実物サンプル確認で確定,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要 [根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-220,11_成果・終結・知識化,WF-19〜WF-22,P0,実態/証跡,実物サンプル確認で回答可能,確認先=終了報告/既済案件/返却記録→終結成果物の実物サンプル確認で確定,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-221,11_成果・終結・知識化,WF-19〜WF-22,P0,実態/証跡,実データから回答可能,確認先=既済案件/最終請求/返却記録→終結の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-222,11_成果・終結・知識化,WF-19〜WF-22,P2,実態/証跡,実データから回答可能,確認先=既済案件/最終請求/返却記録→終結の自然発生データ観測で確認可能,,
Q-223,11_成果・終結・知識化,WF-19〜WF-22,P0,実態/証跡,実物サンプル確認で回答可能,確認先=終了報告/既済案件/返却記録→終結成果物の実物サンプル確認で確定,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-224,11_成果・終結・知識化,WF-19〜WF-22,P2,実態/証跡,実データから回答可能,確認先=既済案件/最終請求/返却記録→終結の自然発生データ観測で確認可能,,
Q-225,11_成果・終結・知識化,WF-19〜WF-22,P2,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-226,11_成果・終結・知識化,WF-19〜WF-22,P0,実態/証跡,実データから回答可能,確認先=既済案件/最終請求/返却記録→終結の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-227,11_成果・終結・知識化,WF-19〜WF-22,P2,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-228,12_例外・品質・セキュリティ,横断,P1,実態/証跡,担当者聴取が必要,確認先=インシデント/アクセスログ/AI利用ルール/スタッフ聴取→運用実態は担当者聴取で確定,,
Q-229,12_例外・品質・セキュリティ,横断,P0,実態/証跡,担当者聴取が必要,確認先=インシデント/アクセスログ/AI利用ルール/スタッフ聴取→運用実態は担当者聴取で確定,浅井聴取必須,運用実態の担当者聴取要で回答者候補に浅井先生→浅井聴取必須（現時点 未聴取）
Q-230,12_例外・品質・セキュリティ,横断,P1,実態/証跡,担当者聴取が必要,確認先=インシデント/アクセスログ/AI利用ルール/スタッフ聴取→運用実態は担当者聴取で確定,,
Q-231,12_例外・品質・セキュリティ,横断,P1,実態/証跡,担当者聴取が必要,確認先=インシデント/アクセスログ/AI利用ルール/スタッフ聴取→運用実態は担当者聴取で確定,,
Q-232,12_例外・品質・セキュリティ,横断,P1,実態/証跡,担当者聴取が必要,確認先=インシデント/アクセスログ/AI利用ルール/スタッフ聴取→運用実態は担当者聴取で確定,,
Q-233,12_例外・品質・セキュリティ,横断,P1,実態/証跡,担当者聴取が必要,確認先=インシデント/アクセスログ/AI利用ルール/スタッフ聴取→運用実態は担当者聴取で確定,,
Q-234,12_例外・品質・セキュリティ,横断,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-235,12_例外・品質・セキュリティ,横断,P1,実態/証跡,担当者聴取が必要,確認先=インシデント/アクセスログ/AI利用ルール/スタッフ聴取→運用実態は担当者聴取で確定,,
Q-236,12_例外・品質・セキュリティ,横断,P1,実態/証跡,担当者聴取が必要,確認先=インシデント/アクセスログ/AI利用ルール/スタッフ聴取→運用実態は担当者聴取で確定,,
Q-237,12_例外・品質・セキュリティ,横断,P2,実態/証跡,担当者聴取が必要,確認先=インシデント/アクセスログ/AI利用ルール/スタッフ聴取→運用実態は担当者聴取で確定,,
Q-238,12_例外・品質・セキュリティ,横断,P2,実態/証跡,担当者聴取が必要,確認先=インシデント/アクセスログ/AI利用ルール/スタッフ聴取→運用実態は担当者聴取で確定,,
Q-239,12_例外・品質・セキュリティ,横断,P0,実態/証跡,担当者聴取が必要,確認先=インシデント/アクセスログ/AI利用ルール/スタッフ聴取→運用実態は担当者聴取で確定,外部SE確認必須,AI/システム/スキーマ事項で回答者候補に外部SE→外部SE確認必須（現時点 未確認）
Q-240,12_例外・品質・セキュリティ,横断,P2,実態/証跡,担当者聴取が必要,確認先=インシデント/アクセスログ/AI利用ルール/スタッフ聴取→運用実態は担当者聴取で確定,,
Q-241,12_例外・品質・セキュリティ,横断,P2,実態/証跡,担当者聴取が必要,確認先=インシデント/アクセスログ/AI利用ルール/スタッフ聴取→運用実態は担当者聴取で確定,,
Q-242,12_例外・品質・セキュリティ,横断,P2,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-243,12_例外・品質・セキュリティ,横断,P0,実態/証跡,担当者聴取が必要,確認先=インシデント/アクセスログ/AI利用ルール/スタッフ聴取→運用実態は担当者聴取で確定,外部SE確認必須,AI/システム/スキーマ事項で回答者候補に外部SE→外部SE確認必須（現時点 未確認）
Q-244,12_例外・品質・セキュリティ,横断,P2,実態/証跡,担当者聴取が必要,確認先=インシデント/アクセスログ/AI利用ルール/スタッフ聴取→運用実態は担当者聴取で確定,,
Q-245,12_例外・品質・セキュリティ,横断,P2,実態/証跡,担当者聴取が必要,確認先=インシデント/アクセスログ/AI利用ルール/スタッフ聴取→運用実態は担当者聴取で確定,,
